bname,tevcat_name,ra,dec,btype,tevcat_type,z,catalog
TeV J0218+359,S3 0218+35,02 21 05.5,+35 56 14,uncertain,Blazar,0.944,tevcat
TeV J1224+213,4C +21.35,12 24 54.4,+21 22 46,fsrq,FSRQ,0.432,tevcat
TeV J1512-091,PKS 1510-089,15 12 52.2,-09 06 21.6,fsrq,FSRQ,0.361,tevcat
TeV J1256-057,3C 279,12 56 11.1,-05 47 22,fsrq,FSRQ,0.5362,tevcat
TeV J0013-188,SHBL J001355.9-185406,00 13 52.0,-18 53 29,bllac,HBL,0.095,tevcat
TeV J0550-322,PKS 0548-322,05 50 38.4,-32 16 12.9,bllac,HBL,0.069,tevcat
TeV J1221+301,1ES 1218+304,12 21 26.3,+30 11 29,bllac,HBL,0.182,tevcat
TeV J2158-302,PKS 2155-304,21 58 52.7,-30 13 18,bllac,HBL,0.116,tevcat
TeV J1959+651,1ES 1959+650,19 59 59.8,+65 08 55,bllac,HBL,0.048,tevcat
TeV J1428+426,H 1426+428,14 28 32.6,+42 40 21,bllac,HBL,0.129,tevcat
TeV J2347+517,1ES 2344+514,23 47 04.9,+51 42 17,bllac,HBL,0.044,tevcat
TeV J1653+397,Markarian 501,16 53 52.2,+39 45 37,bllac,HBL,0.034,tevcat
TeV J1104+382,Markarian 421,11 04 19,+38 11 41,bllac,HBL,0.031,tevcat
TeV J1315-426,1ES 1312-423,13 14 58.5,-42 35 49,bllac,HBL,0.105,tevcat
TeV J1010-313,1RXS J101015.9-311909,10 10 15.03,-31 18 18.4,bllac,HBL,0.142639,tevcat
TeV J0349-119,1ES 0347-121,03 49 23.0,-11 58 38,bllac,HBL,0.188,tevcat
TeV J2250+384,B3 2247+381,22 50 06.6,+38 25 58,bllac,HBL,0.1187,tevcat
TeV J1103-234,1ES 1101-232,11 03 36.5,-23 29 45,bllac,HBL,0.186,tevcat
TeV J1136+676,RX J1136.5+6737,11 36 30.1,+67 37 04,bllac,HBL,0.1342,tevcat
TeV J0316+413,IC 310,03 16 43.0,+41 19 29,bllac,HBL,0.0189,tevcat
TeV J1015+494,1ES 1011+496,10 15 04.1,+49 26 01,bllac,HBL,0.212,tevcat
TeV J0152+017,RGB J0152+017,01 52 33.5,+01 46 40.3,bllac,HBL,0.08,tevcat
TeV J0847+115,RBS 0723,08 47 12.9,+11 33 50,bllac,HBL,0.198,tevcat
TeV J0648+152,RX J0648.7+1516,06 48 45.6,+15 16 12,bllac,HBL,0.179,tevcat
TeV J0809+523,1ES 0806+524,08 09 59,+52 19 00,bllac,HBL,0.138,tevcat
TeV J1555+111,PG 1553+113,15 55 44.7,+11 11 41,bllac,HBL,0.5,tevcat
TeV J1224+246,MS 1221.8+2452,12 24 24.2,+24 36 24,bllac,HBL,0.218,tevcat
TeV J2009-488,PKS 2005-489,20 09 27.0,-48 49 52,bllac,HBL,0.071,tevcat
TeV J1136+701,Markarian 180,11 36 26.4,+70 09 27,bllac,HBL,0.045,tevcat
TeV J0303-241,PKS 0301-243,03 03 23.49,-24 07 35.86,bllac,HBL,0.2657,tevcat
TeV J0710+591,RGB J0710+591,07 10 26.4,+59 09 00,bllac,HBL,0.125,tevcat
TeV J0650+250,1ES 0647+250,06 50 46.5,+25 03 00,bllac,HBL,0.45,tevcat
TeV J1743+196,1ES 1741+196,17 43 57.8,+19 35 09,bllac,HBL,0.083,tevcat
TeV J0507+676,1ES 0502+675,05 07 56.2,+67 37 24,bllac,HBL,0.341,tevcat
TeV J0232+202,1ES 0229+200,02 32 53.2,+20 16 21,bllac,HBL,0.14,tevcat
TeV J2359-306,H 2356-309,23 59 09.42,-30 37 22.7,bllac,HBL,0.165,tevcat
TeV J1728+502,1ES 1727+502,17 28 18.6,+50 13 10,bllac,HBL,0.055,tevcat
TeV J0416+010,1ES 0414+009,04 16 52.96,+01 05 20.4,bllac,HBL,0.287,tevcat
TeV J0319+187,RBS 0413,03 19 47,+18 45 42,bllac,HBL,0.19,tevcat
TeV J1217+301,1ES 1215+303,12 17 48.5,+30 06 06,bllac,HBL,0.13,tevcat
TeV J0521+211,VER J0521+211,05 21 45,+21 12 51.4,bllac,IBL,0.108,tevcat
TeV J2202+422,BL Lacertae,22 02 43.3,+42 16 40,bllac,IBL,0.069,tevcat
TeV J0222+430,3C 66A,02 22 41.6,+43 02 35.5,bllac,IBL,0.41,tevcat
TeV J0721+713,S5 0716+714,07 21 53.4,+71 20 36,bllac,IBL,0.31,tevcat
TeV J1221+282,W Comae,12 21 31.7,+28 13 59,bllac,IBL,0.102,tevcat
TeV J1517-243,AP Lib,15 17 41.8,-24 22 19,bllac,LBL,0.049,tevcat
TeV J0112+224,S2 0109+22,01 12 05.8,+22 44 39,bllac,IBL,0.265,tevcat
TeV J1230+252,S3 1227+25,12 30 14.1,+25 18 07,bllac,IBL,0.135,tevcat
TeV J1443+250,PKS 1441+25,14 43 56.9,+25 01 44,fsrq,FSRQ,0.939,tevcat
